,lor,lor1,lor2,lor3,lor4,street_id,street,sub_district,zip_code
2822,11400927,11,40,09,27,41211,Hauffstraße,Rumbg,10317
2824,11200411,11,20,04,11,41214,Hauptstraße,AHohs,13055
2825,11501238,11,50,12,38,41215,Hauptstraße,Rumbg,10317
2828,02500835,02,50,08,35,41215,Hauptstraße,Frhai,10317
2829,11100101,11,10,01,01,44850,Hauptweg,Wartb,13059
2831,11100102,11,10,01,02,41221,Hausvaterweg,Falkb,13057
2833,11200411,11,20,04,11,43859,Heckelberger Ring,AHohs,13055
2835,11200411,11,20,04,11,41228,Hedwigstraße,AHohs,13053
2837,11501341,11,50,13,41,41234,Hegemeisterweg,Karlh,10318
2839,11300723,11,30,07,23,10791,Heidenelkenweg,Liber,10365
2841,11501341,11,50,13,41,41245,Heiligenberger Straße,Karlh,10318
2843,11200514,11,20,05,14,41246,Heiligenstadter Straße,AHohs,13055
2845,11501341,11,50,13,41,11257,Heiner-Müller-Straße,Karlh,10318
2847,11401137,11,40,11,37,9292,Heinrich-Dathe-Platz,Frife,10319
2848,11400929,11,40,09,29,41259,Heinrichstraße,Rumbg,10317
2849,11200515,11,20,05,15,8332,Heldburger Straße,AHohs,13055
2850,11200410,11,20,04,10,10907,Helga-Haase-Straße,AHohs,13053
2852,11100102,11,10,01,02,44852,Hellersdorfer Straße,Falkb,13057
2853,11100101,11,10,01,01,8551,Helminestraße,Wartb,13051
2855,11300722,11,30,07,22,41275,Hendrichplatz,Liber,10367
2857,11100102,11,10,01,02,9303,Henriette-Herz-Allee,Falkb,13057
2858,11501339,11,50,13,39,41277,Hentigstraße,Karlh,10318
2860,11300616,11,30,06,16,43768,Herbert-Tschäpe-Straße,Fenpf,10369
2862,11300722,11,30,07,22,41281,Heringer Straße,Liber,10367
2864,11200512,11,20,05,12,41287,Hertastraße,AHohs,13053
2866,11300620,11,30,06,20,41296,Herzbergstraße,Fenpf,10367
2868,11300721,11,30,07,21,41296,Herzbergstraße,Liber,10365
2870,11300721,11,30,07,21,41296,Herzbergstraße,Liber,10367
2874,11501238,11,50,12,38,9296,Hildegard-Marcusson-Straße,Rumbg,10317
2876,11400927,11,40,09,27,41312,Hirschberger Straße,Rumbg,10317
2878,11501340,11,50,13,40,41329,Hochwaldstraße,Karlh,10318
2880,11300722,11,30,07,22,41332,Hoenerweg,Liber,10367
2881,11200515,11,20,05,15,7960,Hofheimer Straße,AHohs,13055
2882,11200410,11,20,04,10,41340,Hohengraper Weg,AHohs,13053
2884,11300616,11,30,06,16,41343,Hohenschönhauser Straße,Fenpf,10369
2886,11100204,11,10,02,04,41342,Hohenschönhauser Straße,NHohs,13057
2887,10100205,10,10,02,05,41342,Hohenschönhauser Straße,Marza,13057
2888,11100203,11,10,02,03,41342,Hohenschönhauser Straße,NHohs,13057
2889,03601450,03,60,14,50,41343,Hohenschönhauser Straße,Prenz,10407
2890,11401033,11,40,10,33,41345,Hohenschönhauser Weg,Frife,10315
2892,11501341,11,50,13,41,41350,Hoher Wallgraben,Karlh,10318
2894,11501340,11,50,13,40,41358,Honnefer Straße,Karlh,10318
2896,11501339,11,50,13,39,41359,Hönower Straße,Karlh,10318
2897,11401135,11,40,11,35,41362,Hönower Weg,Frife,10319
2899,11401137,11,40,11,37,41362,Hönower Weg,Frife,10319
2900,11501341,11,50,13,41,41363,Hönower Wiesenweg,Karlh,10318
2902,11501238,11,50,12,38,41363,Hönower Wiesenweg,Rumbg,10318
2904,11501340,11,50,13,40,41375,Horterweg,Karlh,10318
2906,11300725,11,30,07,25,41382,Hubertusstraße,Liber,10365
2908,11401034,11,40,10,34,41387,Hülsenplatz,Frife,10319
2910,11401135,11,40,11,35,44844,Huronseestraße,Frife,10319
2911,11400928,11,40,09,28,44844,Huronseestraße,Frife,10319
2912,11501339,11,50,13,39,41407,Ilsestraße,Karlh,10318
2914,11401033,11,40,10,33,11062,Im Achterkastell,Frife,10315
2915,11400928,11,40,09,28,11105,Im Lichtenhain,Rumbg,10317
2917,11300725,11,30,07,25,11166,Im Lindenhof,Liber,10365
2919,03500936,03,50,09,36,41774,Indira-Gandhi-Straße,Weißs,13088
2921,11200512,11,20,05,12,41774,Indira-Gandhi-Straße,AHohs,13053
2923,03501038,03,50,10,38,41774,Indira-Gandhi-Straße,Weißs,13088
2925,11501340,11,50,13,40,41417,Ingelheimer Straße,Karlh,10318
2927,11501238,11,50,12,38,11269,Ingrid-Reschke-Straße,Rumbg,10317
2928,11400929,11,40,09,29,41423,Irenenstraße,Rumbg,10317
2930,11501341,11,50,13,41,11258,Irmtraud-Morgner-Straße,Karlh,10318
2932,11200410,11,20,04,10,10912,Joachim-Böhmer-Straße,AHohs,13053
2933,11200514,11,20,05,14,43815,Joachimsthaler Straße,AHohs,13055
2935,11501341,11,50,13,41,9322,Johanna-Hofer-Straße,Karlh,10318
2937,11501340,11,50,13,40,10896,Johannes-Fest-Platz,Karlh,10318
2939,11501340,11,50,13,40,42133,Johannes-Zoschke-Straße,Karlh,10318
2941,11100102,11,10,01,02,9300,Johann-Jacob-Engel-Straße,Falkb,13057
2943,11300826,11,30,08,26,43754,John-Sieg-Straße,Liber,10365
2944,11200410,11,20,04,10,43800,Josef-Höhn-Straße 001,,13053
2945,11200410,11,20,04,10,43800,Josef-Höhn-Straße 002,,13053
2946,11300620,11,30,06,20,41453,Josef-Orlopp-Straße 001,,10367
2947,11300722,11,30,07,22,41453,Josef-Orlopp-Straße 004,,10367
2948,11300721,11,30,07,21,41453,Josef-Orlopp-Straße 032,,10365
2949,11300721,11,30,07,21,41453,Josef-Orlopp-Straße 037,,10365
2950,11300616,11,30,06,16,43769,Judith-Auer-Straße 001,,10369
2951,11300616,11,30,06,16,43769,Judith-Auer-Straße 002,,10369
2952,11100102,11,10,01,02,9030,Julius-Meyen-Straße 002,,13057
2953,11100102,11,10,01,02,9030,Julius-Meyen-Straße 003,,13057
2954,11501339,11,50,13,39,41463,Junker-Jörg-Straße 001,,10318
2955,11501339,11,50,13,39,41463,Junker-Jörg-Straße 002,,10318
2956,11200410,11,20,04,10,10908,Jutta-Langenau-Straße 005,,13053
2957,11200410,11,20,04,10,10908,Jutta-Langenau-Straße 006,,13053
2958,11501339,11,50,13,39,41478,Karl-Egon-Straße 001,,10318
2959,11501339,11,50,13,39,41478,Karl-Egon-Straße 002,,10318
2960,11300618,11,30,06,18,43799,Karl-Lade-Straße 002,,10369
2961,11300617,11,30,06,17,43799,Karl-Lade-Straße 025,,10369
2962,11100102,11,10,01,02,9306,Karl-Philipp-Moritz-Weg 061,,13057
2963,11300618,11,30,06,18,41494,Karl-Vesper-Straße 001,,10369
2964,11300618,11,30,06,18,41494,Karl-Vesper-Straße 010,,10369
2965,11501238,11,50,12,38,9439,Karl-Wilker-Straße 002,,10317
2966,11501238,11,50,12,38,9439,Karl-Wilker-Straße 011,,10317
2967,11400927,11,40,09,27,41503,Kaskelstraße 002,,10317
2968,11400927,11,40,09,27,41503,Kaskelstraße 003,,10317
2969,11300826,11,30,08,26,41503,Kaskelstraße 055,,10317
2970,11200512,11,20,05,12,41511,Kätheplatz 001,,13053
2971,11200512,11,20,05,12,41512,Käthestraße 001,,13053
2972,11200512,11,20,05,12,41512,Käthestraße 002,,13053
2973,11400927,11,40,09,27,41526,Kernhofer Straße 001,,10317
2974,11400927,11,40,09,27,41526,Kernhofer Straße 002,,10317
2975,11501340,11,50,13,40,44146,KGA Biesenhorst II 002,,10318
2976,11501340,11,50,13,40,44146,KGA Biesenhorst II 005,,10318
2977,11501238,11,50,12,38,44166,KGA Blockdamm 002,,10318
2978,11501238,11,50,12,38,44166,KGA Blockdamm 005,,10318
2979,11501340,11,50,13,40,44448,KGA Gartenfreunde Wuhlheide 001,,12459
2980,11501340,11,50,13,40,44448,KGA Gartenfreunde Wuhlheide 010,,12459
2981,11300616,11,30,06,16,44270,KGA Langes Höhe 003,,10369
2982,11300616,11,30,06,16,44270,KGA Langes Höhe 054,,10369
2983,11501340,11,50,13,40,44556,KGA Rheinstein Straße 2 043,,10318
2984,11501340,11,50,13,40,44556,KGA Rheinstein Straße 2 076,,10318
2985,11501340,11,50,13,40,44343,KGA Rheinstein Straße 3 089,,10318
2986,11501340,11,50,13,40,44557,KGA Rheinstein Straße 4 098,,10318
2987,11501340,11,50,13,40,44558,KGA Rheinstein Verl. Wiesengrun2d2s7traße227,,10318
2988,11501340,11,50,13,40,41530,Kiefernallee 003,,10318
2989,11501340,11,50,13,40,41530,Kiefernallee 004,,10318
2990,11300722,11,30,07,22,41535,Kielblockstraße 001,,10367
2991,11300722,11,30,07,22,41535,Kielblockstraße 002,,10367
2992,11300826,11,30,08,26,41541,Kietzer Weg,Liber,10365
2993,11501340,11,50,13,40,10780,Kirchdorfer Straße,Karlh,10318
2995,11200512,11,20,05,12,41558,Klarastraße,AHohs,13053
2997,11300725,11,30,07,25,11177,Klara-Weyl-Straße,Liber,10365
2999,11100205,11,10,02,05,43978,Klützer Straße,NHohs,13059
3001,11200410,11,20,04,10,41610,Königswalder Straße,AHohs,13053
3003,11501340,11,50,13,40,41611,Königswinterstraße,Karlh,10318
3005,11200411,11,20,04,11,40308,Konrad-Wolf-Straße,AHohs,13055
3007,11200512,11,20,05,12,40308,Konrad-Wolf-Straße,AHohs,13055
3009,11200514,11,20,05,14,40308,Konrad-Wolf-Straße,AHohs,13055
3011,11200513,11,20,05,13,40308,Konrad-Wolf-Straße,AHohs,13055
3015,11501340,11,50,13,40,41615,Köpenicker Allee,Karlh,10318
3017,11501238,11,50,12,38,41616,Köpenicker Chaussee,Rumbg,10317
3019,11501341,11,50,13,41,41616,Köpenicker Chaussee,Karlh,10317
3021,11401034,11,40,10,34,41624,Köpitzer Straße,Frife,10315
3023,11501340,11,50,13,40,41635,Kötztinger Straße,Karlh,10318
3025,11400930,11,40,09,30,41637,Kraetkestraße,Frife,10315
3027,11501341,11,50,13,41,9347,Krähenwinkel,Karlh,10318
3029,11300725,11,30,07,25,41657,Kriemhildstraße,Liber,10365
3031,11100205,11,10,02,05,43979,Kröpeliner Straße,NHohs,13059
3033,11400927,11,40,09,27,41669,Krummhübler Straße,Rumbg,10317
3035,11300722,11,30,07,22,41670,Kubornstraße,Liber,10367
3037,11100308,11,10,03,08,43926,Kühlungsborner Straße,NHohs,13051
3039,11200515,11,20,05,15,7931,Küllstedter Straße,AHohs,13055
3040,11300722,11,30,07,22,44838,Möllendorffstraße,Liber,10367
3041,02500729,02,50,07,29,44838,Möllendorffstraße,Frhai,10367
3042,11400929,11,40,09,29,42036,Münsterlandplatz,Rumbg,10317
3043,11400929,11,40,09,29,42037,Münsterlandstraße,Rumbg,10317
3045,11501341,11,50,13,41,42040,Müritzstraße,Karlh,10318
3047,11100101,11,10,01,01,11297,Neben dem Dorfteich,Wartb,13059
3049,11100205,11,10,02,05,43939,Neubrandenburger Straße,NHohs,13059
3050,11100206,11,10,02,06,43939,Neubrandenburger Straße,NHohs,13059
3051,11200514,11,20,05,14,43812,Neustrelitzer Straße,AHohs,13055
3053,11501340,11,50,13,40,42080,Neuwieder Straße,Karlh,10318
3055,11200410,11,20,04,10,42081,Neuzeller Weg,AHohs,13053
3057,11300725,11,30,07,25,10846,Nibelungenring,Liber,10365
3059,11200410,11,20,04,10,42089,Niehofer Straße,AHohs,13053
3060,11200411,11,20,04,11,42089,Niehofer Straße,AHohs,13053
3061,11100308,11,10,03,08,43927,Nienhagener Straße,NHohs,13051
3063,11400928,11,40,09,28,42097,Nöldnerstraße,Rumbg,10317
3065,11501238,11,50,12,38,42097,Nöldnerstraße,Rumbg,10317
3066,11200410,11,20,04,10,42099,Norbertstraße,AHohs,13053
3068,11300722,11,30,07,22,42110,Normannenstraße,Liber,10367
3070,11300724,11,30,07,24,42110,Normannenstraße,Liber,10365
3074,11200512,11,20,05,12,42120,Oberseestraße,AHohs,13053
3076,03601450,03,60,14,50,42128,Oderbruchstraße,Prenz,10407
3077,11300616,11,30,06,16,42128,Oderbruchstraße,Fenpf,10369
3078,11501339,11,50,13,39,42131,Odinstraße,Karlh,10318
3080,11401137,11,40,11,37,44847,Ontarioseestraße,Frife,10319
3082,11200512,11,20,05,12,42145,Orankestrand,AHohs,13053
3084,11200512,11,20,05,12,42146,Orankestraße,AHohs,13053
3086,11200512,11,20,05,12,42147,Orankeweg,AHohs,13053
3087,11300725,11,30,07,25,42149,Ortliebstraße,Liber,10365
3088,11200411,11,20,04,11,42281,Plauener Straße,AHohs,13053
3090,11300724,11,30,07,24,42285,Plonzstraße,Liber,10365
3092,11100205,11,10,02,05,43981,Prendener Straße,NHohs,13059
3094,11100307,11,10,03,07,43934,Prerower Platz,NHohs,13051
3096,11200410,11,20,04,10,42314,Privatstraße 1,AHohs,13053
3098,11200410,11,20,04,10,42323,Privatstraße 10,AHohs,13053
3100,11200410,11,20,04,10,42324,Privatstraße 12,AHohs,13053
3102,11200410,11,20,04,10,42315,Privatstraße 2,AHohs,13053
3104,11200410,11,20,04,10,42316,Privatstraße 3,AHohs,13053
3106,11200410,11,20,04,10,42317,Privatstraße 4,AHohs,13053
3108,11200410,11,20,04,10,42318,Privatstraße 5,AHohs,13053
3110,11200410,11,20,04,10,42319,Privatstraße 6,AHohs,13053
3112,11200410,11,20,04,10,42320,Privatstraße 7,AHohs,13053
3114,11200410,11,20,04,10,42321,Privatstraße 8,AHohs,13053
3116,11200410,11,20,04,10,42322,Privatstraße 9,AHohs,13053
3117,11200410,11,20,04,10,42345,Rackwitzer Straße,AHohs,13053
3119,11100203,11,10,02,03,44003,Randowstraße,NHohs,13057
3121,11100204,11,10,02,04,44003,Randowstraße,NHohs,13057
3123,11300722,11,30,07,22,42361,Rathausstraße,Liber,10367
3125,11501340,11,50,13,40,10888,Regener Straße,Karlh,10318
3127,11200513,11,20,05,13,42377,Reichenberger Straße,AHohs,13055
3129,11300721,11,30,07,21,42383,Reinhardsbrunner Straße,Liber,10365
3130,11100308,11,10,03,08,43925,Reriker Straße,NHohs,13051
3132,11501340,11,50,13,40,42397,Rheingoldstraße,Karlh,10318
3134,11501340,11,50,13,40,44944,Rheinpfalzallee,Karlh,10318
3136,11501340,11,50,13,40,44840,Rheinsteinstraße,Karlh,10318
3137,11501340,11,50,13,40,42400,Rhenser Weg,Karlh,10318
3139,11401032,11,40,10,32,42402,Rhinstraße,Frife,10315
3140,11401033,11,40,10,33,42402,Rhinstraße,Frife,10315
3141,11300721,11,30,07,21,42402,Rhinstraße,Liber,10315
3142,10100311,10,10,03,11,42402,Rhinstraße,Marza,12681
3143,11200515,11,20,05,15,42402,Rhinstraße,AHohs,13053
3145,11200411,11,20,04,11,42402,Rhinstraße,AHohs,13055
3146,11300723,11,30,07,23,9290,Rhododendronweg,Liber,10365
3148,11501339,11,50,13,39,42405,Riastraße,Karlh,10318
3150,11400931,11,40,09,31,42406,Ribbecker Straße,Frife,10315
3151,11400930,11,40,09,30,42406,Ribbecker Straße,Frife,10315
3153,11100307,11,10,03,07,43921,Ribnitzer Straße,NHohs,13051
3155,11100308,11,10,03,08,43921,Ribnitzer Straße,NHohs,13051
3157,11100101,11,10,01,01,8550,Ricardastraße,Wartb,13051
3159,11501339,11,50,13,39,42411,Rienzistraße,Karlh,10318
3161,11501340,11,50,13,40,10891,Rinchnacher Weg,Karlh,10318
3163,11501340,11,50,13,40,43476,Robert-Siewert-Straße,Karlh,10318
3165,11400931,11,40,09,31,43383,Robert-Uhrig-Straße,Frife,10315
3167,11400930,11,40,09,30,43383,Robert-Uhrig-Straße,Frife,10315
3169,11501341,11,50,13,41,42429,Rödelstraße,Karlh,10318
3171,11200410,11,20,04,10,42432,Roderichplatz,AHohs,13053
3173,11300724,11,30,07,24,42435,Roedeliusplatz,Liber,10365
3175,11200512,11,20,05,12,42436,Roedernstraße,AHohs,13053
3177,11501341,11,50,13,41,9385,Rohrlake,Karlh,10318
3179,11501340,11,50,13,40,42445,Rolandseck,Karlh,10318
3181,11501339,11,50,13,39,42452,Römerweg,Karlh,10318
3183,11501340,11,50,13,40,42452,Römerweg,Karlh,10318
3184,11300721,11,30,07,21,42504,Ruschestraße,Liber,10365
3186,11300723,11,30,07,23,42504,Ruschestraße,Liber,10365
3187,11300724,11,30,07,24,42504,Ruschestraße,Liber,10365
3189,11501341,11,50,13,41,11259,Ruth-Baumgarte-Straße,Karlh,10318
3191,11300722,11,30,07,22,42507,Rutnikstraße,Liber,10367
3193,11200512,11,20,05,12,42514,Sabinensteig,AHohs,13053
3195,11501341,11,50,13,41,42517,Sadowastraße,Karlh,10318
3197,11501238,11,50,12,38,42519,Saganer Straße,Rumbg,10317
3199,11401135,11,40,11,35,42522,Salzmannstraße,Frife,10319
3201,11501341,11,50,13,41,11293,Samuel-Lewin-Straße,Karlh,10318
3202,11200513,11,20,05,13,41837,Sandinostraße,AHohs,13055
3204,11200514,11,20,05,14,41837,Sandinostraße,AHohs,13055
3206,11501339,11,50,13,39,42532,Sangeallee,Karlh,10318
3208,11200515,11,20,05,15,8331,Schalkauer Straße,AHohs,13055
3210,11200512,11,20,05,12,42547,Scharnweberstraße,AHohs,13053
3212,11300722,11,30,07,22,42551,Scheffelstraße,Liber,10367
3214,11501341,11,50,13,41,42554,Schenkestraße,Karlh,10318
3216,11100102,11,10,01,02,9308,Schilfanger,Falkb,13057
3218,11200515,11,20,05,15,42574,Schleizer Straße,AHohs,13055
3220,11501238,11,50,12,38,42575,Schlichtallee,Rumbg,10317
3221,11400928,11,40,09,28,42575,Schlichtallee,Rumbg,10317
3223,11501341,11,50,13,41,42589,Schmiedeberger Weg,Karlh,10318
3225,11200513,11,20,05,13,42607,Schöneicher Straße,AHohs,13055
3227,11300724,11,30,07,24,42628,Schottstraße,Liber,10365
3229,11400927,11,40,09,27,44704,Schreiberhauer Straße,Rumbg,10317
3231,11300826,11,30,08,26,48751,Schulze-Boysen-Straße,Liber,10365
3232,11100102,11,10,01,02,9310,Schwanenblumenweg,Falkb,13057
3233,11401136,11,40,11,36,42655,Schwarzmeerstraße,Frife,10319
3235,11100206,11,10,02,06,43942,Schweriner Ring,NHohs,13059
3237,11100101,11,10,01,01,43942,Schweriner Ring,NHohs,13059
3238,11401033,11,40,10,33,42668,Seddiner Straße,Frife,10315
3240,11200411,11,20,04,11,43857,Seefelder Straße,AHohs,13053
3242,11200410,11,20,04,10,43857,Seefelder Straße,AHohs,13053
3243,11100204,11,10,02,04,44008,Seehausener Straße,NHohs,13057
3245,11501340,11,50,13,40,42676,Seifertweg,Karlh,10318
3247,11401136,11,40,11,36,44841,Sewanstraße,Frife,10319
3248,11400928,11,40,09,28,44841,Sewanstraße,Frife,10319
3249,11401135,11,40,11,35,44841,Sewanstraße,Frife,10319
3250,11401137,11,40,11,37,44841,Sewanstraße,Frife,10319
3252,11300725,11,30,07,25,42694,Siegfriedstraße,Liber,10365
3254,11300723,11,30,07,23,42694,Siegfriedstraße,Liber,10365
3256,11300721,11,30,07,21,42694,Siegfriedstraße,Liber,10365
3262,11100101,11,10,01,01,8549,Sigrunstraße,Wartb,13051
3264,11300723,11,30,07,23,10766,Silberweidenweg,Liber,10365
3265,11200513,11,20,05,13,42342,Simon-Bolivar-Straße,AHohs,13055
3267,11200514,11,20,05,14,42342,Simon-Bolivar-Straße,AHohs,13055
3271,11501340,11,50,13,40,42708,Sinziger Straße,Karlh,10318
3272,11401032,11,40,10,32,42709,Skandinavische Straße,Rumbg,10317
3274,11501339,11,50,13,39,10771,Sokratesweg,Karlh,10318
3275,11200515,11,20,05,15,7929,Sollstedter Straße,AHohs,13055
3276,11400929,11,40,09,29,42726,Sophienstraße,Rumbg,10317
3278,11501341,11,50,13,41,42732,Spatzensteig,Karlh,10318
3280,11100101,11,10,01,01,42832,Straße 2,Wartb,13059
3282,11501340,11,50,13,40,44649,Straße 2,Karlh,10318
3283,11100101,11,10,01,01,42835,Straße 3,Wartb,13059
3284,11501340,11,50,13,40,44650,Straße 3,Karlh,10318
3287,11501340,11,50,13,40,44651,Straße 4,Karlh,10318
3289,11100101,11,10,01,01,42839,Straße 4,Wartb,13059
3291,11100101,11,10,01,01,42842,Straße 5,Wartb,13059
3293,11100101,11,10,01,01,42846,Straße 6,Wartb,13059
3295,11100101,11,10,01,01,42850,Straße 7,Wartb,13059
3297,11100101,11,10,01,01,42852,Straße 8,Wartb,13059
3299,11100101,11,10,01,01,42853,Straße 9,Wartb,13059
3301,11200513,11,20,05,13,43247,Strausberger Straße,AHohs,13055
3303,11501341,11,50,13,41,43260,Stühlinger Straße,Karlh,10318
3305,11200512,11,20,05,12,43266,Suermondtstraße,AHohs,13053
3307,11200411,11,20,04,11,43266,Suermondtstraße,AHohs,13053
3309,11200410,11,20,04,10,43266,Suermondtstraße,AHohs,13053
3311,03501038,03,50,10,38,43266,Suermondtstraße,Weißs,13053
3312,11200410,11,20,04,10,43279,Tamseler Straße,AHohs,13053
3314,11501339,11,50,13,39,43280,Tannhäuserstraße,Karlh,10318
3316,11300826,11,30,08,26,43282,Tasdorfer Straße,Liber,10365
3318,11501340,11,50,13,40,10892,Teisnacher Straße,Karlh,10318
3320,11200515,11,20,05,15,43302,Themarer Straße,AHohs,13053
3321,11200410,11,20,04,10,43303,Theobaldstraße,AHohs,13053
3323,11200410,11,20,04,10,43322,Titastraße,AHohs,13053
3325,11501341,11,50,13,41,43331,Traberweg,Karlh,10318
3327,11501341,11,50,13,41,43334,Trautenauer Straße,Karlh,10318
3328,11501341,11,50,13,41,43472,Wandlitzstraße,Karlh,10318
3329,11100206,11,10,02,06,43936,Warnemünder Straße,NHohs,13059
3331,11100204,11,10,02,04,44009,Warnitzer Straße,NHohs,13057
3333,11200411,11,20,04,11,43480,Wartenberger Straße,AHohs,13053
3335,11200410,11,20,04,10,43480,Wartenberger Straße,AHohs,13053
3337,11100309,11,10,03,09,43480,Wartenberger Straße,NHohs,13053
3339,11100307,11,10,03,07,43480,Wartenberger Straße,NHohs,13053
3341,11100101,11,10,01,01,44470,Wartenberger Weg,Malch,13051
3343,11300826,11,30,08,26,43482,Wartenbergstraße,Liber,10365
3345,11100203,11,10,02,03,44006,Wartiner Straße,NHohs,13057
3347,11200411,11,20,04,11,5282,Wassergrundstraße,AHohs,13053
3349,11200410,11,20,04,10,43490,Waxweiler Weg,AHohs,13051
3351,11100102,11,10,01,02,9309,Weidenanger,Falkb,13057
3353,11501341,11,50,13,41,9346,Weideplan,Karlh,10318
3354,11300620,11,30,06,20,44836,Weißenseer Weg,Fenpf,10367
3356,11200514,11,20,05,14,44836,Weißenseer Weg,AHohs,13055
3358,11200512,11,20,05,12,44836,Weißenseer Weg,AHohs,13053
3360,11300616,11,30,06,16,44836,Weißenseer Weg,Fenpf,10369
3362,11300617,11,30,06,17,44836,Weißenseer Weg,Fenpf,10369
3364,11400929,11,40,09,29,43520,Weitlingstraße,Rumbg,10317
3366,11300826,11,30,08,26,43520,Weitlingstraße,Rumbg,10317
3368,11100203,11,10,02,03,44004,Welsestraße,NHohs,13057
3370,11100204,11,10,02,04,44004,Welsestraße,NHohs,13057
3371,11200513,11,20,05,13,43535,Werneuchener Straße,AHohs,13055
3373,11200514,11,20,05,14,43535,Werneuchener Straße,AHohs,13055
3376,11501340,11,50,13,40,43539,Weseler Straße,Karlh,10318
3378,11100308,11,10,03,08,43929,Wiecker Straße,NHohs,13051
3380,11501340,11,50,13,40,43558,Wiesengrundstraße,Karlh,10318
3382,11501340,11,50,13,40,44662,Wiesenstraße,Karlh,10318
3384,11300826,11,30,08,26,43559,Wiesenweg,Liber,10365
3386,11501341,11,50,13,41,43563,Wildensteiner Straße,Karlh,10318
3388,11300826,11,30,08,26,43755,Wilhelm-Guddorf-Straße,Liber,10365
3389,11200515,11,20,05,15,43595,Witzenhauser Straße,AHohs,13053
3391,11100206,11,10,02,06,43938,Woldegker Straße,NHohs,13059
3393,11200411,11,20,04,11,43834,Wollenberger Straße,AHohs,13053
3395,11400929,11,40,09,29,43617,Wönnichstraße,Rumbg,10317
3397,11200515,11,20,05,15,43618,Worbiser Straße,AHohs,13055
3399,11200515,11,20,05,15,43618,Worbiser Straße,AHohs,13053
3401,11300725,11,30,07,25,43623,Wotanstraße,Liber,10365
3403,11200513,11,20,05,13,43624,Wriezener Straße,AHohs,13055
3405,11100307,11,10,03,07,43932,Wustrower Straße,NHohs,13051
3407,11501340,11,50,13,40,10946,Zachenberger Straße,Karlh,10318
3408,11400929,11,40,09,29,43636,Zachertstraße,Rumbg,10315
3409,11400929,11,40,09,29,43636,Zachertstraße,Frife,10315
3411,11400930,11,40,09,30,43636,Zachertstraße,Frife,10315
3413,11200514,11,20,05,14,43813,Zechliner Straße,AHohs,13055
3415,11100308,11,10,03,08,43920,Zingster Straße,NHohs,13051
3416,11100307,11,10,03,07,43920,Zingster Straße,NHohs,13051
3417,11400928,11,40,09,28,43665,Zobtener Straße,Rumbg,10317
3418,11400928,11,40,09,28,43665,Zobtener Straße,Frife,10317
3420,11400930,11,40,09,30,43670,Zornstraße,Frife,10315
3422,11100204,11,10,02,04,9094,Zu den Krugwiesen,NHohs,13057
3424,11100308,11,10,03,08,43928,Zum Hechtgraben,NHohs,13051
3425,11100101,11,10,01,01,43928,Zum Hechtgraben,NHohs,13051
3426,11100101,11,10,01,01,11290,Zum Wartenberger Anger,Wartb,13059
3428,11501238,11,50,12,38,10512,Zur Alten Flussbadeanstalt,Rumbg,10317
3430,11501340,11,50,13,40,48673,Zwieseler Straße,Karlh,10318
3432,10400837,10,40,08,37,40004,Achardstraße,Kauld,12621
3434,10200524,10,20,05,24,44831,Adele-Sandrock-Straße,Helld,12627
3436,10100315,10,10,03,15,43847,Adersleber Weg,Marza,12685
3438,10400837,10,40,08,37,40014,Adolf-Menzel-Straße,Kauld,12621
3440,10400836,10,40,08,36,40015,Adolfstraße,Kauld,12621
3442,10200526,10,20,05,26,44035,Adorfer Straße,Helld,12627
3444,10400941,10,40,09,41,40022,Ahornallee,Mahld,12623
3446,10400837,10,40,08,37,40025,Ahornstraße,Kauld,12621
3448,11100102,11,10,01,02,40027,Ahrensfelder Chaussee,Falkb,13057
3449,10100101,10,10,01,01,40027,Ahrensfelder Chaussee,Marza,12689
3450,10100102,10,10,01,02,40027,Ahrensfelder Chaussee,Marza,12689
3451,10300731,10,30,07,31,40029,Ährenweg,Biesd,12683
3453,10400941,10,40,09,41,40031,Akazienallee,Mahld,12623
3455,10300734,10,30,07,34,40036,Alberichstraße,Biesd,12683
3457,10200524,10,20,05,24,44028,Albert-Kuntz-Straße,Helld,12627
3459,10400938,10,40,09,38,40038,Albrecht-Dürer-Straße,Mahld,12623
3461,10300734,10,30,07,34,40045,Alfelder Straße,Biesd,12683
3463,10100208,10,10,02,08,43864,Alfred-Döblin-Straße,Marza,12679
3465,10200421,10,20,04,21,6583,Alice-Salomon-Platz,Helld,12627
3467,11300721,11,30,07,21,43698,Allee der Kosmonauten,Liber,10315
3469,10100311,10,10,03,11,43698,Allee der Kosmonauten,Marza,12681
3471,10100312,10,10,03,12,43698,Allee der Kosmonauten,Marza,12681
3473,10300731,10,30,07,31,43698,Allee der Kosmonauten,Biesd,12683
3474,10100315,10,10,03,15,43698,Allee der Kosmonauten,Marza,12685
3475,10100314,10,10,03,14,43698,Allee der Kosmonauten,Marza,12685
3476,10100313,10,10,03,13,43698,Allee der Kosmonauten,Marza,12685
3477,10300734,10,30,07,34,8875,Alpenveilchenweg,Biesd,12683
3479,10300733,10,30,07,33,40055,Alt-Biesdorf,Biesd,12683
3480,10200630,10,20,06,30,40091,Am Baltenring,Helld,12619
3482,10400940,10,40,09,40,5505,Am Barnim,Mahld,12623
3484,10300734,10,30,07,34,40092,Am Binsengrund,Biesd,12683
3486,10400837,10,40,08,37,40930,Am Birkenwerder,Kauld,12621
